	Method	Analyte	lprobe	lflourines	lhydrogen	hhydrogen	hcarbons	Probe	Avg	SD	smiles	formula	f_obj_selectivity	f_obj_error_selectivity	f_obj_sensitivity	f_obj_error_sensitivity	sds_sensitivity	sds_sensitivityError	smilesValid	pc0	pc1	pc2	pc3	pc4
168	PBMD-4CVS-GPU	PFOSD	12	19	7	-1	-1	C12/Cl19	-7.014800980763689	0.1594873931134659	CCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl	C12H7Cl19	0.8833948030791525	0.21790299137376695	-7.014800980763689	0.1594873931134659	-7.898195783842842	0.1484772207697421	True	40.15285110473633	5.883842945098877	-7.330212593078613	-2.919670343399048	-3.613030195236206
175	PBMD-4CVS-GPU	PFOSD	11	16	14	0	3	C11/F16/N(CH3)3	-5.86659705654279	0.4804208171246849	CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[N+](C)(C)C	C14H16F16N	0.7980922941907096	0.8965783958225056	-5.86659705654279	0.4804208171246849	-6.664689350733499	0.7569997743255329	True	41.977760314941406	-2.308892250061035	8.199657440185547	-1.8665287494659424	1.4933972358703613
183	PBMD-4CVS-GPU	PFOSD	11	19	7	1	1	C11/F19/NH1(CH3)1	-4.273465237459567	0.5593347582826574	CNCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	C12H8F19N	1.9117617778416367	0.7383778183599846	-4.273465237459567	0.5593347582826574	-6.185227015301204	0.4820232679269037	True	43.60312271118164	4.061291694641113	4.9347357749938965	-1.9464926719665527	1.05971360206604
184	PBMD-4CVS-GPU	PFOSD	12	19	7	-1	-1	C12/F19	-5.2427367355382986	0.3405798583167195	CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	C12H7F19	0.19928578594770485	0.8267539036752939	-5.2427367355382986	0.3405798583167195	-5.442022521486003	0.7533441294330901	True	43.625205993652344	4.494544506072998	7.122218608856201	-4.473470211029053	-1.4185336828231812
188	PBMD-4CVS-GPU	PFOSD	11	19	5	2	0	C11/F19/NH2	-4.457292484220683	0.7786670002509017	NCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	C11H6F19N	0.6637739135213803	1.026093979963303	-4.457292484220683	0.7786670002509017	-5.121066397742063	0.6682413923405174	True	43.86064529418945	4.886866569519043	7.420445919036865	-4.73136043548584	-1.8072420358657837
193	PBMD-4CVS-GPU	PFOSD	13	19	9	2	0	C13Cl19/NH2	-6.224882840552006	0.3401151812960204	NCCCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl	C13H10Cl19N	3.401276954101748	0.5192712207855866	-6.224882840552006	0.3401151812960204	-9.626159794653754	0.3923828031248676	True	46.131629943847656	1.6448588371276855	-2.330012559890747	-2.6166698932647705	-0.7253007888793945
201	PBMD-4CVS-GPU	PFOSD	10	22	0	-1	-1	C10/F22	-4.62156823202124	0.5104037709374014	FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	C10F22	0.9777825463809631	0.5141491218173337	-4.62156823202124	0.5104037709374014	-5.599350778402203	0.0619460255255832	True	48.6784782409668	4.250259876251221	7.026531219482422	-4.1848368644714355	-0.09119948744773865
207	PBMD-4CVS-GPU	PFOSD	11	19	9	0	2	C11/F19/N(CH3)2	-5.132928790823119	0.205579827066936	CN(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	C13H10F19N	1.0759486381127763	0.3348195883159804	-5.132928790823119	0.205579827066936	-6.208877428935895	0.2642746514957711	True	50.72875213623047	4.7194037437438965	7.775228023529053	-2.7157583236694336	-1.970569372177124
216	PBMD-4CVS-GPU	PFOSD	11	19	11	0	3	C11/F19/N(CH3)3	-5.7149706561049625	0.3693554046817389	C[N+](C)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	C14H13F19N	0.12715797018168562	0.7204632419787272	-5.7149706561049625	0.3693554046817389	-5.842128626286648	0.6185821433527539	True	54.00305938720703	2.7078018188476562	10.077577590942383	-2.0535736083984375	-2.1182265281677246
220	PBMD-4CVS-GPU	PFOSD	12	21	5	-1	-1	C12/F21	-5.413743962205444	0.1936470586401266	CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	C12H5F21	0.18799189010761452	0.5061565721356981	-5.413743962205444	0.1936470586401266	-5.601735852313059	0.4676486845872524	True	54.56938934326172	10.577741622924805	0.842173159122467	-8.79783821105957	-2.0880684852600098
227	PBMD-4CVS-GPU	PFOSD	12	23	3	-1	-1	C12/F23	-4.91571806655195	0.5791011853202631	CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	C12H3F23	1.666884928566927	0.6727463649077063	-4.91571806655195	0.5791011853202631	-6.582602995118877	0.3423879213073952	True	56.13084030151367	5.696496963500977	9.3074369430542	-1.039689540863037	0.6682665348052979
237	PBMD-4CVS-GPU	PFOSD	12	26	0	-1	-1	C12/F26	-4.959054433268732	0.2014960845208767	FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	C12F26	0.5520238842742531	0.28741654066560096	-4.959054433268732	0.2014960845208767	-5.511078317542985	0.2049575462649199	True	59.671974182128906	6.603031635284424	7.9470133781433105	-1.7832403182983398	-1.7437297105789185
240	PBMD-4CVS-GPU	PFOSD	12	26	0	-1	-1	C12/Cl26	-8.363284750476152	0.5027166234979036	ClC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl	C12Cl26	0.9778630342279193	0.9057540706486414	-8.363284750476152	0.5027166234979036	-9.341147784704072	0.7534364160003492	True	62.37440490722656	8.370932579040527	-2.08307147026062	7.487800121307373	-6.443089485168457
