Catalog,SMILES,SELFIES
S1056,Cc1c(NC(=O)OCC2COCCN2)cn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,[C][c][c][Branch1_3][#N][N][C][Branch1_3][epsilon][=O][O][C][C][C][O][C][C][N][Ring1][Branch1_1][c][n][n][c][n][c][Branch2_3][epsilon][Branch2_3][N][c][c][c][c][c][Branch1_3][=C][c][n][n][Ring1][Ring2][C][c][c][c][c][c][Branch1_3][epsilon][F][c][Ring1][Branch1_2][c][Ring1][#N][c][Ring2][epsilon][#C][Ring2][epsilon][Branch1_1]
S1057,COC1=CC(c2cc3ccccc3[nH]2)=N/C1=C\c1[nH]c(C)cc1C.CS(=O)(=O)O,[C][O][C][=C][C][Branch1_2][N][c][c][c][c][c][c][c][c][Ring1][Branch1_1][nHexpl][Ring1][Branch2_1][=N][/C][Ring1][=O][=C][\c][nHexpl][c][Branch1_3][epsilon][C][c][c][Ring1][Branch1_1][C][.][C][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][O]
S1060,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,[O][=C][Branch2_3][epsilon][F][c][c][c][Branch1_3][#C][C][c][n][nHexpl][c][Branch1_3][epsilon][=O][c][c][c][c][c][c][Ring1][Branch2_3][Ring1][Branch1_1][c][c][c][Ring1][C][F][N][C][C][N][Branch1_3][Branch2_3][C][Branch1_3][epsilon][=O][C][C][C][Ring1][epsilon][C][C][Ring1][Branch2_3]
S1061,COc1ccc(C2=NC(c3ccc(Cl)cc3)C(c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1,[C][O][c][c][c][c][Branch2_3][Ring1][Branch2_3][C][=N][C][Branch1_3][O][c][c][c][c][Branch1_3][epsilon][Cl][c][c][Ring1][Branch1_2][C][Branch1_3][O][c][c][c][c][Branch1_3][epsilon][Cl][c][c][Ring1][Branch1_2][N][Ring1][=C][C][Branch1_3][epsilon][=O][N][C][C][N][C][Branch1_3][epsilon][=O][C][Ring1][Branch1_2][c][Branch1_3][Branch1_3][O][C][Branch1_3][epsilon][C][C][c][Ring2][epsilon][#C]
S1064,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,[C][c][c][c][c][Branch2_3][epsilon][Branch2_2][N][C][Branch1_3][epsilon][=O][c][c][c][c][Branch1_3][=O][C][N][C][C][N][Branch1_3][epsilon][C][C][C][Ring1][Branch1_2][c][c][Ring1][=O][c][c][Ring2][epsilon][Ring2][N][c][n][c][Branch1_3][Branch2_2][-c][c][c][c][n][c][Ring1][Branch1_1][c][s][Ring1][Branch2_3]
S1065,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,[C][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][N][C][C][N][Branch2_3][Ring1][epsilon][C][c][c][c][n][c][Branch1_3][N][-c][c][c][c][c][nHexpl][n][c][c][Ring1][Branch2_1][Ring1][Ring2][n][c][Branch1_3][Branch2_2][N][C][C][O][C][C][Ring1][Branch1_1][c][Ring1][S][s][Ring2][epsilon][Branch1_1][C][C][Ring2][epsilon][O]
S1066,N#C/C(=C(/N)Sc1ccc(N)cc1)c1ccccc1C(F)(F)F,[N][#C][/C][Branch1_3][C][=C][Branch1_3][epsilon][/N][S][c][c][c][c][Branch1_3][epsilon][N][c][c][Ring1][Branch1_2][c][c][c][c][c][c][Ring1][Branch1_1][C][Branch1_2][epsilon][F][Branch1_3][epsilon][F][F]
S1067,NC(=O)c1ccc(-c2nc(-c3ccc4c(c3)OCO4)c(-c3ccccn3)[nH]2)cc1,[N][C][Branch1_3][epsilon][=O][c][c][c][c][Branch2_3][epsilon][#N][-c][n][c][Branch1_3][#N][-c][c][c][c][c][Branch1_3][Ring2][c][Ring1][Branch1_1][O][C][O][Ring1][Branch1_1][c][Branch1_3][Branch2_2][-c][c][c][c][c][n][Ring1][Branch1_1][nHexpl][Ring1][#C][c][c][Ring2][epsilon][Branch1_3]
S1068,CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,[C][C][Branch2_3][epsilon][F][O][c][c][c][Branch1_3][=C][-c][c][n][n][Branch1_3][Branch2_2][C][C][C][N][C][C][Ring1][Branch1_1][c][Ring1][Branch2_3][c][n][c][Ring1][#N][N][c][c][Branch1_3][epsilon][Cl][c][c][c][Branch1_3][epsilon][F][c][Ring1][Branch1_3][Cl]
S1069,CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,[C][C][N][C][Branch1_3][epsilon][=O][c][n][o][c][Branch1_3][S][-c][c][c][Branch1_3][Branch1_2][C][Branch1_3][epsilon][C][C][c][Branch1_3][epsilon][O][c][c][Ring1][Branch2_2][O][c][Ring1][=N][-c][c][c][c][Branch1_3][Branch2_3][C][N][C][C][O][C][C][Ring1][Branch1_1][c][c][Ring1][O]
S1070,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc32)c(C)c1C(=O)N1CCCC1CN1CCCC1,[C][c][nHexpl][c][Branch2_3][Ring1][epsilon][/C][=C][\C][Branch1_3][epsilon][=O][N][c][c][c][c][Branch1_3][=S][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][C][c][c][Branch1_3][epsilon][Cl][c][c][c][c][Ring1][Branch1_2][Cl][c][c][Ring1][C][Ring2][epsilon][Ring1][c][Branch1_3][epsilon][C][c][Ring2][epsilon][Branch2_3][C][Branch1_3][epsilon][=O][N][C][C][C][C][Ring1][Ring2][C][N][C][C][C][C][Ring1][Ring2]
S1072,FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,[F][C][Branch1_3][epsilon][F][c][n][c][c][c][c][c][c][Ring1][Branch1_1][n][Ring1][Branch2_1][-c][n][c][Branch1_3][Branch2_2][N][C][C][O][C][C][Ring1][Branch1_1][n][c][Branch1_3][Branch2_2][N][C][C][O][C][C][Ring1][Branch1_1][n][Ring1][C]
S1075,Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21,[C][n][c][c][Branch2_3][epsilon][Branch1_3][C][=C][Branch1_3][=O][c][c][c][c][Branch1_3][epsilon][Cl][c][c][Ring1][Branch1_2][Cl][C][Branch1_3][epsilon][=O][N][C][Ring1][=O][=O][c][c][c][c][c][c][Ring1][Branch1_1][Ring2][epsilon][Branch1_1]
S1076,CS(=O)c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,[C][S][Branch1_3][epsilon][=O][c][c][c][c][Branch2_3][epsilon][O][-c][n][c][Branch1_3][O][-c][c][c][c][Branch1_3][epsilon][F][c][c][Ring1][Branch1_2][c][Branch1_3][Branch2_2][-c][c][c][n][c][c][Ring1][Branch1_1][nHexpl][Ring1][C][c][c][Ring2][epsilon][Branch1_1]
S1077,Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,[O][c][c][c][c][Branch2_3][epsilon][O][-c][n][c][Branch1_3][O][-c][c][c][c][Branch1_3][epsilon][F][c][c][Ring1][Branch1_2][c][Branch1_3][Branch2_2][-c][c][c][n][c][c][Ring1][Branch1_1][nHexpl][Ring1][C][c][c][Ring2][epsilon][Branch1_1]
S1078,Cl.Cl.NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1,[Cl][.][Cl][.][N][C][Branch2_3][Ring1][Ring2][c][c][c][c][Branch2_3][epsilon][O][-c][n][c][c][c][n][c][Branch1_3][epsilon][=O][nHexpl][n][c][Ring1][Branch1_1][c][Ring1][Branch2_2][c][c][Ring1][=O][-c][c][c][c][c][c][Ring1][Branch1_1][c][c][Ring2][epsilon][Branch1_3][C][C][C][Ring2][epsilon][F]
S1080,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)N(C)c4cccc(Cl)c4)cc32)c(C)c1C(=O)N1CCN(C)CC1,[C][c][nHexpl][c][Branch2_3][Ring1][Branch1_1][/C][=C][\C][Branch1_3][epsilon][=O][N][c][c][c][c][Branch2_3][epsilon][Ring2][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][N][Branch1_3][epsilon][C][c][c][c][c][c][Branch1_3][epsilon][Cl][c][Ring1][Branch1_2][c][c][Ring1][C][Ring2][epsilon][Ring1][c][Branch1_3][epsilon][C][c][Ring2][epsilon][Branch2_3][C][Branch1_3][epsilon][=O][N][C][C][N][Branch1_3][epsilon][C][C][C][Ring1][Branch1_2]
S1082,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,[C][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][c][c][c][c][Branch2_3][epsilon][Branch2_1][C][Branch1_3][epsilon][=O][N][c][c][c][c][Branch1_3][epsilon][Cl][c][Branch1_3][Branch2_2][-c][c][c][c][c][n][Ring1][Branch1_1][c][Ring1][O][c][Branch1_3][epsilon][Cl][c][Ring2][epsilon][Ring2]
S1084,Cc1cc2c(F)c(Oc3ncnn4cc(OCC(C)O)c(C)c34)ccc2[nH]1,[C][c][c][c][c][Branch1_3][epsilon][F][c][Branch2_3][epsilon][Branch2_1][O][c][n][c][n][n][c][c][Branch1_3][Branch2_1][O][C][C][Branch1_3][epsilon][C][O][c][Branch1_3][epsilon][C][c][Ring1][N][Ring1][Branch2_3][c][c][c][Ring2][epsilon][Ring2][nHexpl][Ring2][epsilon][Branch1_3]
S1085,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,[O][=C][Branch2_3][epsilon][Branch2_3][/C][=C][/c][c][c][c][c][Branch1_3][C][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][N][c][c][c][c][c][c][Ring1][Branch1_1][c][Ring1][=N][N][O]
S1087,NC(=O)c1ccc(I)c([N+](=O)[O-])c1,[N][C][Branch1_3][epsilon][=O][c][c][c][c][Branch1_3][epsilon][I][c][Branch1_3][Branch1_2][N+expl][Branch1_3][epsilon][=O][O-expl][c][Ring1][Branch2_2]
S1088,Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2C1CC(CN2CCCC2)C1,[N][c][n][c][n][c][c][Ring1][Branch1_1][c][Branch1_3][=S][-c][c][c][c][c][Branch1_3][F][O][C][c][c][c][c][c][c][Ring1][Branch1_1][c][Ring1][=O][c][n][Ring1][=C][C][C][C][Branch1_3][Branch2_2][C][N][C][C][C][C][Ring1][Ring2][C][Ring1][Branch2_2]
S1089,COc1cc(F)c(F)c(Nc2ccc(I)cc2F)c1NS(=O)(=O)C1(CC(O)CO)CC1,[C][O][c][c][c][Branch1_3][epsilon][F][c][Branch1_3][epsilon][F][c][Branch1_3][N][N][c][c][c][c][Branch1_3][epsilon][I][c][c][Ring1][Branch1_2][F][c][Ring1][#N][N][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][C][Branch1_3][Branch2_1][C][C][Branch1_3][epsilon][O][C][O][C][C][Ring1][Branch1_3]
S1090,CN(C)Cc1c(C(=O)NCCOc2ccc(C(=O)NO)cc2)oc2ccccc12,[C][N][Branch1_3][epsilon][C][C][c][c][Branch2_3][epsilon][Branch1_2][C][Branch1_3][epsilon][=O][N][C][C][O][c][c][c][c][Branch1_3][Branch1_3][C][Branch1_3][epsilon][=O][N][O][c][c][Ring1][Branch2_2][o][c][c][c][c][c][c][Ring2][epsilon][Branch1_2][Ring1][Branch1_1]
S1091,CC1(O)CC(c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn23)C1,[C][C][Branch1_3][epsilon][O][C][C][Branch2_3][Ring1][Branch1_2][c][n][c][Branch2_3][epsilon][Branch1_2][-c][c][c][c][c][c][c][Branch1_3][Branch2_2][-c][c][c][c][c][c][Ring1][Branch1_1][n][c][Ring1][F][c][Ring1][=N][c][c][Branch1_3][epsilon][N][n][c][c][n][Ring2][epsilon][Branch1_3][Ring1][Branch1_2][C][Ring2][epsilon][O]
