,Unnamed: 0,smiles,molwt,ccount,fcount,clcount,brcount
143,143,CC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,2131.981902595999,13,0,0,25
144,144,CCCCCCCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,885.4137095080001,13,0,0,9
145,145,CCCC(Br)(Br)C(Br)(Br)C(Br)(Br)Br,631.4831349240001,6,0,0,7
146,146,CCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,1324.845481788,11,0,0,15
147,147,CCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,473.69650464,7,0,11,0
148,148,CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,290.071704332,9,9,0,0
149,149,BrC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,1686.3667419999997,9,0,0,20
150,150,CCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,426.046473588,11,15,0,0
151,151,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,587.96167728,11,24,0,0
152,152,CCCCCCCCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,899.4293595720002,14,0,0,9
153,153,CCCCCCCCCCC(Cl)(Cl)Cl,258.070883712,11,0,3,0
154,154,CCCCCCCCCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,503.883999792,14,0,9,0
155,155,CCCCCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,857.3824093800001,11,0,0,9
156,156,CCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,1047.2604421600006,14,0,25,0
157,157,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,448.01197990000003,10,17,0,0
158,158,CCCCCCCCCCCC,170.203450832,12,0,0,0
